"CAPITAL","city","agree","attendevent","EX14","IM14","EX15","IM15","date","V24","V25","V26"
20.0109358369697,"2",0,1.79175946922805,5.4380793089232,2.89037175789616,5.30826769740121,3.2188758248682,13.3213797962142,"1","1","0"
18.0640058000136,"2",0,0.693147180559945,4.30406509320417,4.06044301054642,4.55387689160054,3.87120101090789,13.6763887106845,"1","1","0"
17.2167079396264,"3",0,0,4.60517018598809,0.693147180559945,4.63472898822964,2.07944154167984,13.3223627566751,"0","1","0"
0,"3",1,5.08140436498446,6.5875500148248,7.68937110752969,6.45047042214418,7.54168309988211,13.4168239240029,"1","1","0"
0,"3",0,1.09861228866811,5.51342874616498,4.18965474202643,0,3.04452243772342,13.0817517774163,"0","1","0"
0,"3",0,4.12713438504509,6.91075078796194,6.38519439899773,6.93147180559945,6.36818718635049,13.4165259062657,"1","0","0"
20.4879231781752,"3",0,2.07944154167984,5.32300997913841,5.19295685089021,5.20948615284142,4.84418708645859,13.4165259062657,"1","1","0"
0,"3",0,1.94591014905531,4.85981240436167,5.30330490805908,4.65396035015752,5.26269018890489,13.2716468027715,"1","1","0"
19.3369714758265,"2",0,1.38629436111989,1.38629436111989,5.44673737166631,2.484906649788,5.19849703126583,13.2714745229404,"1","0","0"
21.0003489382234,"2",0,1.38629436111989,6.19236248947487,5.40267738187228,5.93753620508243,4.9416424226093,13.4018131573296,"1","0","0"
0,"2",1,2.39789527279837,9.24145136700124,6.38519439899773,8.99181115821272,6.3261494731551,13.3225264895224,"1","1","0"
19.7868744333653,"2",0,0,2.56494935746154,0.693147180559945,2.19722457733622,0,13.1814395068073,"0","1","0"
20.0301186563865,"2",0,2.30258509299405,4.87519732320115,3.2188758248682,5.17614973257383,3.25809653802148,13.3220761596686,"1","1","0"
20.5827296249018,"1",0,2.99573227355399,4.60517018598809,4.43081679884331,4.15888308335967,4.46590811865458,13.2894088466458,"0","1","1"
20.6398842280074,"3",0,0.693147180559945,0,2.83321334405622,0,2.94443897916644,13.2365863056141,"1","0","1"
0,"3",0,1.09861228866811,4.29045944114839,4.61512051684126,3.89182029811063,4.46590811865458,13.1808228334106,"1","1","0"
19.0770602003201,"3",0,1.38629436111989,5.37989735354046,4.23410650459726,5.45958551414416,4.18965474202643,13.4162277996874,"0","1","0"
0,"3",0,1.09861228866811,2.94443897916644,5.00394630594546,2.56494935746154,4.86753445045558,13.4165259062657,"1","1","1"
20.7071364550165,"3",0,1.09861228866811,3.80666248977032,4.85203026391962,3.61091791264422,4.87519732320115,13.2009915466284,"0","1","0"
20.9937262390653,"3",0,1.09861228866811,2.83321334405622,2.83321334405622,2.484906649788,2.77258872223978,13.4168239240029,"0","1","0"
21.2828816248818,"3",0,1.38629436111989,5.04342511691925,5.2257466737132,4.80402104473326,5.22035582507832,13.4166749262361,"1","1","0"
0,"3",1,4.06044301054642,7.64873978895624,7.04141166379481,7.39079852173568,6.98564181763921,13.416376864085,"1","1","0"
0,"3",1,4.06044301054642,7.64873978895624,7.04141166379481,7.39079852173568,6.98564181763921,13.416376864085,"1","1","0"
18.0921766769803,"2",0,1.09861228866811,1.09861228866811,3.46573590279973,1.38629436111989,3.3322045101752,13.2890652462006,"1","1","0"
20.7799254886474,"1",0,1.38629436111989,3.95124371858143,5.72031177660741,5.08140436498446,5.98141421125448,13.338926927917,"1","0","0"
0,"3",0,2.07944154167984,9.2277872855799,8.63034328934889,9.00699944795815,8.34141021146186,13.2535688170964,"1","1","0"
0,"3",0,2.30258509299405,9.01066917684711,8.56921621948339,8.85950548451913,8.32845106681936,13.2187656878895,"1","1","1"
20.0215419816356,"2",0,1.94591014905531,5.2257466737132,4.77912349311153,5.11799381241676,4.48863636973214,13.2555034434706,"1","1","0"
20.5640496591196,"3",0,1.09861228866811,4.92725368515721,4.88280192258637,4.60517018598809,4.77912349311153,13.1441522660708,"1","1","0"
20.2124402131804,"3",0,1.79175946922805,5.0998664278242,2.70805020110221,5.25749537202778,2.07944154167984,13.4165259062657,"1","0","0"
20.3665908930077,"2",0,0,1.38629436111989,3.87120101090789,0,3.43398720448515,13.3217075570697,"0","1","0"
18.7427642431215,"3",0,0,2.56494935746154,4.47733681447821,2.484906649788,4.53259949315326,13.1031825967215,"0","1","0"
0,"2",1,2.94443897916644,7.28619171470238,6.56103066589657,7.28276117960559,6.59987049921284,13.4165259062657,"0","1","0"
0,"3",0,2.83321334405622,5.23110861685459,5.43372200355424,5.20948615284142,5.23644196282995,13.4160787130663,"1","1","0"
18.8459484793567,"2",0,1.38629436111989,2.77258872223978,0,2.94443897916644,0,13.6651828944222,"1","1","0"
21.3110525018485,"3",0,2.94443897916644,5.71042701737487,4.20469261939097,5.72358510195238,4.17438726989564,13.338926927917,"1","1","0"
19.9303867149875,"2",0,2.56494935746154,6.28599809450886,5.4249500174814,6.4707995037826,5.41164605185504,13.2713022134238,"1","0","0"
19.7424365839347,"3",0,1.09861228866811,5.05624580534831,3.8286413964891,4.78749174278205,3.55534806148941,13.2362294183099,"0","1","0"
0,"3",0,2.39789527279837,6.90475076996184,4.52178857704904,6.8627579130514,4.60517018598809,13.4166749262361,"1","1","0"
20.1065507613642,"2",0,1.6094379124341,4.70048036579242,4.4188406077966,4.63472898822964,4.36944785246702,13.0178935760538,"1","1","0"
19.3369714758265,"2",0,2.39789527279837,5.19849703126583,0,5.37063802812766,0.693147180559945,0,"0","0","0"
21.1287309450546,"3",0,0.693147180559945,4.40671924726425,2.19722457733622,4.29045944114839,2.77258872223978,0,"0","0","0"
