"BAN_1","BAN","CAPITAL","city","agree","attendevent","EX14","IM14","EX15","IM15","設立日期","行業代號","名稱","行業代號_1","名稱_1","行業代號_2","名稱_2","行業代號_3","名稱_3"
28722767,"323A72EB99",493437530,1,FALSE,1,28,0,34,1,960606,464211,"電子器材、電子設備批發",269999,"其他未分類電子零組件製造",271999,"未分類其他電腦週邊設備製造",NA,NA
28729918,"551DDF9EA2",3500000,2,TRUE,1,0,0,0,0,960606,457299,"其他化粧品批發",475299,"其他化粧品零售",NA,NA,NA,NA
28732006,"8B1F903FA0",210697050,2,FALSE,1,62,100,54,88,960613,254200,"粉末冶金",269999,"其他未分類電子零組件製造",NA,NA,NA,NA
28732929,"7FF9BD9033",5e+05,2,FALSE,2,0,0,0,0,960611,731011,"廣告代理",NA,NA,NA,NA,NA,NA
28733315,"FE2E5F6AC4",6.93e+08,2,FALSE,5,679,19,637,19,960620,271999,"未分類其他電腦週邊設備製造",NA,NA,NA,NA,NA,NA
28736397,"D2C063FF90",5e+06,2,FALSE,16,0,0,0,0,960626,232300,"陶瓷衛浴設備製造",456916,"玻璃器皿、餐具批發",456917,"陶瓷器皿、餐具批發",NA,NA
28737109,"AAF019D5DD",756741740,2,FALSE,4,0,0,18,0,960620,293999,"未分類其他通用機械設備製造",281099,"其他發電、輸電、配電機械製造",464211,"電子器材、電子設備批發","282011","一次電池製造"
28742406,"562421BF1D",2.5e+07,2,TRUE,3,0,0,0,0,960710,464111,"電腦及電腦週邊設備批發",456116,"視聽設備批發",NA,NA,NA,NA
28744045,"053D5C79AB",5e+05,1,FALSE,7,0,0,0,0,960827,461313,"衛浴設備批發",474917,"清潔用品零售",NA,NA,NA,NA
28750854,"78F73BDB53",2e+07,2,FALSE,1,0,0,0,0,960706,464915,"醫療機械設備批發",457112,"西藥批發",454999,"未分類其他食品批發","454700","非酒精飲料批發"
28760044,"B6DD2D963B",5e+06,2,FALSE,3,0,0,0,0,960725,252211,"金屬門窗（框）製造",434011,"室內裝潢工程",434013,"房屋設備安裝工程","461515","建材五金（螺絲、螺帽、鉚釘等金屬製品）批發"
28761748,"E1E1C654F7",1.1e+07,3,FALSE,1,0,0,0,0,960727,281099,"其他發電、輸電、配電機械製造",464211,"電子器材、電子設備批發",NA,NA,NA,NA
28762922,"18E96090C0",2.5e+07,2,FALSE,18,0,0,0,0,960730,464211,"電子器材、電子設備批發",456999,"未分類其他家庭器具及用品批發",487113,"網際網路拍賣","433199","其他機電、電信及電路設備安裝"
28764610,"A0E9A3588E",7e+06,2,FALSE,23,0,0,0,0,960727,681112,"不動產租賃",193012,"清潔劑製造",194099,"其他化粧品製造","457299","其他化粧品批發"
28773596,"DCE8F120D2",3e+08,2,FALSE,25,20,1,25,1,961024,269999,"其他未分類電子零組件製造",275199,"其他量測、導航及控制設備製造",NA,NA,NA,NA
28774791,"5EB8D7DFDD",1e+06,1,FALSE,8,0,0,0,0,960815,464214,"手機批發",464111,"電腦及電腦週邊設備批發",483111,"電腦及電腦週邊設備零售","483212","手機零售"
28782011,"029868253C",192840000,1,FALSE,17,2,0,2,0,960911,313100,"自行車製造",271999,"未分類其他電腦週邊設備製造",458211,"自行車及自行車零件批發","476211","自行車及自行車零件零售"
28783638,"A179E0365F",1e+06,2,FALSE,2,0,0,0,0,960910,464111,"電腦及電腦週邊設備批發",464499,"其他辦公用機械器具批發",464112,"電腦套裝軟體批發","464211","電子器材、電子設備批發"
28784221,"38E1CB3473",1.1e+07,2,FALSE,3,10,0,15,0,960917,456999,"未分類其他家庭器具及用品批發",220911,"塑膠日用品製造",220999,"未分類其他塑膠製品製造",NA,NA
28795064,"91567452D5",1e+07,1,FALSE,0,0,0,0,0,960926,140200,"合板及組合木材製造",461999,"未分類其他建材批發",NA,NA,NA,NA
28795515,"E6A229F553",5e+05,2,FALSE,0,0,0,0,0,961012,461516,"建材五金（基本金屬）批發",456199,"其他家庭電器批發",464211,"電子器材、電子設備批發",NA,NA
28801158,"DFAA419A04",1e+06,2,FALSE,0,0,0,0,0,961002,740999,"未分類其他專門設計服務",464211,"電子器材、電子設備批發",NA,NA,NA,NA
28810852,"A705F88C40",39900000,2,FALSE,35,0,0,0,0,961019,454999,"未分類其他食品批發",456999,"未分類其他家庭器具及用品批發",702099,"其他管理顧問服務",NA,NA
28811944,"834359A9C6",2e+06,2,FALSE,0,0,0,0,0,961017,464211,"電子器材、電子設備批發",464499,"其他辦公用機械器具批發",269999,"其他未分類電子零組件製造",NA,NA
28812887,"CF8F6F9BB9",705845120,2,FALSE,1,35,11,45,2,961023,269999,"其他未分類電子零組件製造",264300,"太陽能電池製造",456115,"通用電池批發",NA,NA
28813605,"FF5F3B685A",6.3e+07,2,FALSE,10,1,0,4,0,961022,454700,"非酒精飲料批發",454999,"未分類其他食品批發",456213,"廚具批發",NA,NA
28815505,"D9E34316AB",3200000,1,FALSE,0,0,0,0,0,961105,464920,"電力設備器材批發",461515,"建材五金（螺絲、螺帽、鉚釘等金屬製品）批發",464999,"未分類其他機械器具批發","456999","未分類其他家庭器具及用品批發"
28816624,"6501039C10",2.6e+08,2,FALSE,13,0,0,0,0,971008,332900,"其他醫療器材及用品製造",NA,NA,NA,NA,NA,NA
28818355,"F5611C7F0E",7500000,2,FALSE,5,31,5,26,5,961108,464211,"電子器材、電子設備批發",NA,NA,NA,NA,NA,NA
28818685,"7318032B5A",1946800620,2,FALSE,3,78,5,18,0,961225,269999,"其他未分類電子零組件製造",NA,NA,NA,NA,NA,NA
28821324,"1459D03978",6.46e+08,1,FALSE,3,256,197,122,77,961108,264112,"液晶面板組件製造",269999,"其他未分類電子零組件製造",262000,"被動電子元件製造","464299","其他電子設備及其零組件批發"
28821491,"BDF00DE14D",1e+07,3,FALSE,1,0,0,0,0,961106,456611,"金（銀）飾批發",NA,NA,NA,NA,NA,NA
28823511,"AC308CA806",0,2,FALSE,3,74,261,18,201,961115,269999,"其他未分類電子零組件製造",464211,"電子器材、電子設備批發",451099,"其他商品經紀",NA,NA
28827592,"16D84DE68D",3e+07,3,FALSE,1,0,0,0,0,961205,631100,"入口網站經營",620900,"其他電腦系統設計服務",620213,"電腦設備管理及資訊技術顧問",NA,NA
28836023,"7B6920E55E",2e+06,3,FALSE,0,0,0,0,0,960102,472933,"保健食品零售",451099,"其他商品經紀",454920,"保健食品批發",NA,NA
28836522,"7B328C5A44",1e+07,3,FALSE,1,0,0,0,0,970108,464999,"未分類其他機械器具批發",455211,"服裝批發",NA,NA,NA,NA
28840363,"2AA6734225",1e+06,3,FALSE,1,0,0,0,0,970123,451099,"其他商品經紀",581211,"雜誌（期刊）出版",NA,NA,NA,NA
28841356,"BC66658388",4.1e+08,3,TRUE,5,0,7,0,0,970128,273099,"其他視聽電子產品製造",456199,"其他家庭電器批發",464299,"其他電子設備及其零組件批發","474199","其他家庭電器零售"
28843657,"4BCF940BC9",5800000,3,FALSE,0,0,0,0,0,970131,464111,"電腦及電腦週邊設備批發",NA,NA,NA,NA,NA,NA
28844282,"49FA86946F",1248948750,1,FALSE,1,216,211,15,54,970205,261111,"磊晶矽晶圓製造",464211,"電子器材、電子設備批發",277999,"未分類其他光學儀器及設備製造","451099","其他商品經紀"
28845064,"944259FAF6",2e+06,3,FALSE,6,0,0,0,0,970213,464299,"其他電子設備及其零組件批發",464211,"電子器材、電子設備批發",NA,NA,NA,NA
