"BAN_1","BAN","CAPITAL","city","agree","attendevent","EX14","IM14","EX15","IM15","設立日期","行業代號","名稱","行業代號_1","名稱_1","行業代號_2","名稱_2","行業代號_3","名稱_3"
11013946,"970A139F1B",490500000,2,FALSE,6,230,18,202,25,610101,465311,"汽車零件、汽車百貨批發",303099,"其他汽車零件製造",303099,"其他汽車零件製造",NA,NA
11015682,"39ED395025",7e+07,2,FALSE,2,74,58,95,48,870122,291900,"其他金屬加工用機械設備製造",303099,"其他汽車零件製造",464999,"未分類其他機械器具批發",NA,NA
11022142,"EBBBD8307B",3e+07,3,FALSE,0,100,2,103,8,610701,242211,"鋁合金鑄造",249999,"其他未分類基本金屬製造",251299,"其他金屬模具製造",NA,NA
11026506,"11FDE57F02",0,3,TRUE,161,726,2185,633,1885,671201,521000,"報關服務",283100,"電線及電纜製造",140200,"合板及組合木材製造","140400","木質容器製造"
11038101,"3A88B135A3",0,3,FALSE,3,248,66,0,21,480101,151299,"其他紙張製造",NA,NA,NA,NA,NA,NA
11039306,"ED912AA6AF",0,3,FALSE,62,1003,593,1024,583,671001,456111,"家電材料批發",439099,"未分類其他專門營造",524100,"停車場管理",NA,NA
11051504,"B8B13EEFB3",790300000,3,FALSE,8,205,180,183,127,671001,462299,"其他化學製品批發",192011,"塗料製造",NA,NA,NA,NA
11081681,"6AFD9719FD",0,3,FALSE,7,129,201,105,193,580501,293511,"電梯（升降機）、電扶梯製造",433113,"電梯、電扶梯、升降機工程",NA,NA,NA,NA
11083034,"EC302B0373",2.5e+08,2,FALSE,4,4,232,12,181,580401,465311,"汽車零件、汽車百貨批發",471999,"未分類其他綜合商品零售",NA,NA,NA,NA
11083148,"A3609D0023",1319276000,2,FALSE,4,489,222,379,140,661201,462299,"其他化學製品批發",NA,NA,NA,NA,NA,NA
11085292,"1923FBB1D1",0,2,TRUE,11,10316,593,8037,559,610801,456113,"家電（視聽設備除外）批發",451099,"其他商品經紀",269913,"電子管製造","264111","液晶面板製造"
11092765,"D32FDC9BB2",392040000,2,FALSE,0,13,2,9,1,530428,112999,"未分類其他織布製造",NA,NA,NA,NA,NA,NA
11099726,"9E3C480013",5e+08,2,FALSE,10,131,25,177,26,610526,313200,"自行車零件製造",458211,"自行車及自行車零件批發",312200,"機車零件製造","239111","砂布、砂紙製造"
11104755,"3134FB27C4",868892200,1,FALSE,20,100,84,64,87,590904,259200,"金屬彈簧製造",303099,"其他汽車零件製造",275199,"其他量測、導航及控制設備製造","820912","文件打字、撰稿及速記等服務"
11113403,"52143A7F91",9.2e+08,3,FALSE,2,0,17,0,19,560501,453999,"未分類其他農產原料批發",462199,"其他化學原料批發",681112,"不動產租賃",NA,NA
11121403,"CB0F14222D",0,3,FALSE,3,73,101,49,87,530101,192011,"塗料製造",461411,"塗料批發",NA,NA,NA,NA
11132909,"3CA3762CB2",192780000,3,FALSE,4,217,69,235,66,670801,262000,"被動電子元件製造",NA,NA,NA,NA,NA,NA
11166702,"DBD16C423A",0,3,FALSE,3,19,149,13,130,671001,293599,"其他輸送機械設備製造",422012,"污水處理廠營建",293511,"電梯（升降機）、電扶梯製造","681112","不動產租賃"
11167300,"172B07434E",9.84e+08,3,FALSE,3,45,128,37,131,540901,252100,"金屬結構製造",NA,NA,NA,NA,NA,NA
11298247,"94855F015D",1310567700,3,FALSE,3,17,17,12,16,671201,283100,"電線及電纜製造",283299,"其他配線器材製造",NA,NA,NA,NA
11311608,"80FDBB0DC9",1.75e+09,3,FALSE,4,155,186,122,185,671101,112114,"毛梭織布製造",530100,"普通倉儲經營",NA,NA,NA,NA
11332202,"6E44715631",0,3,TRUE,58,2098,1143,1621,1081,670901,456199,"其他家庭電器批發",220300,"工業用塑膠製品製造",285111,"家用冷氣機製造","451099","其他商品經紀"
11332202,"6E44715631",0,3,TRUE,58,2098,1143,1621,1081,670901,456199,"其他家庭電器批發",220300,"工業用塑膠製品製造",285111,"家用冷氣機製造","451099","其他商品經紀"
11350411,"B1E2B0F00C",7.2e+07,2,FALSE,3,3,32,4,28,590701,269999,"其他未分類電子零組件製造",293312,"泵（幫浦）製造",451099,"其他商品經紀",NA,NA
11381701,"4B11BECEAB",1058295560,1,FALSE,4,52,305,161,396,620901,340013,"航空器維修",NA,NA,NA,NA,NA,NA
11384708,"EF63238C7A",0,3,FALSE,8,10176,5599,8160,4194,570101,181099,"其他基本化學材料製造",461915,"塑膠、橡膠建材製品批發",NA,NA,NA,NA
11384806,"E59BDAA5FF",0,3,FALSE,10,8190,5267,7041,4140,550601,462299,"其他化學製品批發",87000,"動物飼料配製",181099,"其他基本化學材料製造",NA,NA
11455272,"3327B3A6B5",495730000,2,FALSE,7,186,119,167,89,571205,303099,"其他汽車零件製造",451099,"其他商品經紀",312200,"機車零件製造",NA,NA
11455800,"A9B88571F8",852811980,3,FALSE,3,138,132,100,119,511014,451099,"其他商品經紀",113000,"不織布製造",NA,NA,NA,NA
11459242,"D605E4A710",6e+08,3,FALSE,6,164,15,192,8,671001,465311,"汽車零件、汽車百貨批發",461516,"建材五金（基本金屬）批發",NA,NA,NA,NA
11491382,"F58B4C3B6D",7e+08,2,FALSE,1,4,48,0,31,610301,281011,"電力變壓器製造",289099,"未分類其他電力設備製造",NA,NA,NA,NA
11492208,"9DAB49FCE4",1.38e+08,3,FALSE,0,13,88,12,93,490501,192011,"塗料製造",NA,NA,NA,NA,NA,NA
11520909,"7E77A80E8A",0,2,TRUE,19,1460,707,1455,735,671001,210100,"輪胎製造",NA,NA,NA,NA,NA,NA
11529802,"BD9FA5582C",0,3,FALSE,17,187,229,183,188,670701,241311,"鋼板（捲）、鋼帶、鋼片製造",431016,"鋼構工程",NA,NA,NA,NA
11548218,"62649BD4D2",1.53e+08,2,FALSE,4,16,0,19,0,860426,122199,"其他針織外衣製造",456999,"未分類其他家庭器具及用品批發",NA,NA,NA,NA
11551634,"D0055E1F7E",1.8e+09,3,FALSE,19,302,67,306,65,620901,291212,"金屬切削成型工具機械製造",291900,"其他金屬加工用機械設備製造",456212,"進口家具（辦公室家具除外）批發","464320","金屬加工用機械批發"
11652838,"FE864F8388",452540000,2,FALSE,13,537,227,646,224,580301,464314,"原動機批發",NA,NA,NA,NA,NA,NA
11663005,"BEF1FB11D5",3.75e+08,3,FALSE,3,157,46,120,35,560301,220112,"塑膠板、管材等製造",NA,NA,NA,NA,NA,NA
11686106,"8239AD8E53",0,3,FALSE,11,997,92,956,100,671101,184199,"其他合成樹脂及塑膠製造",462199,"其他化學原料批發",NA,NA,NA,NA
11708100,"A8B753752E",539714450,2,FALSE,5,110,83,103,79,450401,331400,"文具製造",220911,"塑膠日用品製造",473111,"絲織、麻織、棉織、毛織品零售",NA,NA
1175457,"5150B2593C",2.5e+08,2,FALSE,11,181,0,215,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175920,"576E9C32EC",1.5e+09,3,FALSE,2,82,9,73,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177413,"DA1BF5618F",5e+06,2,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11824327,"F05051E96A",425250000,3,FALSE,5,2129,234,2200,228,671201,456113,"家電（視聽設備除外）批發",303099,"其他汽車零件製造",312200,"機車零件製造",NA,NA
11825450,"88627701A4",1572572000,3,FALSE,27,169,117,155,78,670901,284299,"其他照明器具製造",303099,"其他汽車零件製造",313200,"自行車零件製造","269911","電子連接器（線）製造"
11825825,"B0BD4DAB43",0,3,FALSE,2,22,144,20,124,670801,112211,"聚酯纖維梭織布製造",473211,"服裝零售",115199,"其他紡織製成品製造",NA,NA
11828007,"C352F4C7AB",2e+08,3,FALSE,6,0,65,0,65,470301,275199,"其他量測、導航及控制設備製造",464999,"未分類其他機械器具批發",457113,"醫療耗材批發",NA,NA
11829913,"9AD19254CF",7.88e+08,3,FALSE,3,181,50,137,43,591201,184111,"聚酯粒製造",451099,"其他商品經紀",474399,"其他家飾品零售","461112","竹材批發"
11833698,"DE7F607C51",1104886000,2,FALSE,8,882,176,977,159,790724,269999,"其他未分類電子零組件製造",451099,"其他商品經紀",NA,NA,NA,NA
1183554,"9A2AEED818",85226000,3,FALSE,29,116,0,106,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11846053,"0B6644E3B9",108624000,2,FALSE,0,0,0,0,0,591202,152099,"其他紙容器製造",232911,"陶瓷餐具燒製",NA,NA,NA,NA
11846954,"BFF334C366",285185000,2,FALSE,3,47,2,53,2,600401,210900,"其他橡膠製品製造",NA,NA,NA,NA,NA,NA
11892801,"FA017DE741",0,3,FALSE,1,0,0,0,0,671001,233100,"水泥製造",NA,NA,NA,NA,NA,NA
11893409,"3BA75DF793",0,3,FALSE,18,2968,1376,302,727,670801,462299,"其他化學製品批發",NA,NA,NA,NA,NA,NA
11907184,"4DC0B58693",5e+07,3,FALSE,2,110,22,119,17,641201,454814,"辛料、香料批發",89699,"其他調味品製造",472920,"調味料零售","089999","其他未分類食品製造"
11907311,"82CF61D9E0",0,3,FALSE,10,5089,4076,2568,2042,650301,181099,"其他基本化學材料製造",269999,"其他未分類電子零組件製造",464211,"電子器材、電子設備批發","462212","農藥批發"
11912102,"C94F687F95",0,3,FALSE,6,299,589,359,451,641101,151100,"紙漿製造",670012,"不動產投資開發、興建及租售",524100,"停車場管理",NA,NA
11914002,"5BE62FAD9D",0,3,FALSE,6,2377,1559,2079,1178,670901,231200,"玻璃容器製造",NA,NA,NA,NA,NA,NA
11915305,"D6301B10BA",0,3,FALSE,8,707,1482,569,1465,671101,285999,"未分類其他家用電器製造",293918,"中央空調系統製造",433211,"冷凍、通風、空調系統裝修工程","285111","家用冷氣機製造"
11916108,"111867D62A",5e+07,3,FALSE,4,2,6,1,9,540101,422017,"水井？鑿工程",340011,"鍋爐、金屬貯槽及壓力容器維修及安裝",292999,"其他未分類專用機械設備製造","370000","廢（污）水處理"
11917107,"0280A27AA6",0,3,FALSE,4,1857,1260,20,829,610801,461915,"塑膠、橡膠建材製品批發",NA,NA,NA,NA,NA,NA
11917900,"91B716DC9B",363833000,3,FALSE,14,94,1272,28,731,660101,469999,"其他未分類專賣批發",483111,"電腦及電腦週邊設備零售",NA,NA,NA,NA
11925346,"47D20BE000",3e+07,3,FALSE,1,0,36,0,28,570301,484311,"汽車零件、汽車百貨零售",464314,"原動機批發",303099,"其他汽車零件製造",NA,NA
12100433,"4D00ABF649",78400000,3,FALSE,0,1,0,1,0,651201,464315,"塑膠橡膠機械批發",464999,"未分類其他機械器具批發",251299,"其他金屬模具製造","220999","未分類其他塑膠製品製造"
12104727,"B6A72DC9BE",1e+08,3,FALSE,2,0,2,1,3,660101,194099,"其他化粧品製造",NA,NA,NA,NA,NA,NA
12105401,"2273BBDC46",206720000,3,FALSE,1,0,4,0,2,660101,740999,"未分類其他專門設計服務",220999,"未分類其他塑膠製品製造",469914,"紙盒、紙袋批發","332900","其他醫療器材及用品製造"
12107371,"6582173AE7",508101760,2,FALSE,1,129,3,126,6,660101,184199,"其他合成樹脂及塑膠製造",NA,NA,NA,NA,NA,NA
12119974,"A818E27D26",1e+08,2,FALSE,29,184,2,180,1,660501,301011,"客車製造",471999,"未分類其他綜合商品零售",NA,NA,NA,NA
12137733,"8682B84B60",1.2e+08,3,FALSE,1,0,46,0,47,660901,239999,"其他未分類非金屬礦物製品製造",60013,"矽砂採取",70099,"未分類其他礦業及土石採取",NA,NA
12138114,"26614EFE01",1.5e+09,2,FALSE,12,83,540,98,478,660901,464914,"量測設備批發",464211,"電子器材、電子設備批發",NA,NA,NA,NA
12156196,"3DB5F8A3A4",1018500000,2,FALSE,4,106,179,40,157,670101,269999,"其他未分類電子零組件製造",261213,"積體電路引腳架製造",NA,NA,NA,NA
12168019,"AB5820F7A4",1e+08,3,FALSE,4,226,17,252,18,750401,259300,"金屬線製品製造",292411,"紡織機械設備製造",NA,NA,NA,NA
12179711,"BFDFDBCE20",6e+06,2,FALSE,5,0,2,0,2,670701,452000,"綜合商品批發",NA,NA,NA,NA,NA,NA
12186136,"8887C74342",3.6e+07,1,FALSE,15,0,32,0,28,830524,210900,"其他橡膠製品製造",464915,"醫療機械設備批發",114099,"其他印染整理","455111","絲織、麻織、棉織、毛織品批發"
12192073,"154316897C",2.5e+07,3,FALSE,7,0,3,0,3,671001,451099,"其他商品經紀",NA,NA,NA,NA,NA,NA
12194656,"F5CA975830",194670000,2,FALSE,6,15,37,23,21,810713,303099,"其他汽車零件製造",184199,"其他合成樹脂及塑膠製造",NA,NA,NA,NA
12195487,"B814BF1C85",8e+07,2,FALSE,2,67,20,38,3,671001,464211,"電子器材、電子設備批發",NA,NA,NA,NA,NA,NA
12200469,"93CC85748E",345487190,2,FALSE,13,99,19,68,18,750101,292413,"製鞋機製造",281099,"其他發電、輸電、配電機械製造",NA,NA,NA,NA
12205020,"97FD59E127",0,3,FALSE,9,3565,952,2748,590,671201,472913,"菸酒零售",456116,"視聽設備批發",451099,"其他商品經紀","483111","電腦及電腦週邊設備零售"
12206203,"6CE84570F2",3.68e+08,2,FALSE,2,4,3,2,5,671201,263000,"印刷電路板製造",273099,"其他視聽電子產品製造",530100,"普通倉儲經營",NA,NA
12207266,"A4BC467B47",720045040,3,FALSE,4,97,47,94,50,671201,114099,"其他印染整理",199099,"未分類其他化學製品製造",457299,"其他化粧品批發",NA,NA
12209807,"9E23FD8834",0,2,FALSE,7,1339,200,1674,227,720301,461915,"塑膠、橡膠建材製品批發",159999,"其他未分類紙製品製造",462299,"其他化學製品批發",NA,NA
12212704,"42D486FA75",1e+08,3,FALSE,1,6,26,4,21,680201,461412,"漆料及光油批發",NA,NA,NA,NA,NA,NA
12215548,"CC60F150B1",1617358000,3,FALSE,11,0,8,2,20,680401,464111,"電腦及電腦週邊設備批發",NA,NA,NA,NA,NA,NA
12217882,"E4E65E5CDF",3.5e+07,2,FALSE,3,0,14,0,14,860701,115119,"製毯",NA,NA,NA,NA,NA,NA
12221350,"394C590230",3e+06,3,FALSE,11,0,0,0,0,680401,461913,"平板玻璃批發",NA,NA,NA,NA,NA,NA
12228473,"0F29A13522",0,3,FALSE,13,386,2750,354,1960,840830,272112,"有線電話製造",NA,NA,NA,NA,NA,NA
12231717,"2BCE0097C3",2.16e+08,2,FALSE,10,708,403,824,463,841218,313100,"自行車製造",303011,"汽車電力系統製造",319011,"電動代步車製造",NA,NA
12233428,"11E28087BB",0,3,FALSE,5,9659,1705,6945,616,680701,181099,"其他基本化學材料製造",462299,"其他化學製品批發",NA,NA,NA,NA
12246205,"0F18429BCD",1.19e+08,2,TRUE,6,16,20,14,18,690401,275199,"其他量測、導航及控制設備製造",NA,NA,NA,NA,NA,NA
12252043,"8E8F246BDB",5e+06,3,FALSE,1,1,0,2,0,681108,292912,"印刷機械設備製造",NA,NA,NA,NA,NA,NA
12261768,"D03283EC9F",0,3,FALSE,7,0,0,0,0,690101,800112,"系統保全服務",800111,"保全服務",800111,"保全服務","800111","保全服務"
12262675,"3A548CB632",1.28e+09,1,FALSE,4,219,231,169,190,690101,253912,"金屬罐製造",253999,"未分類其他金屬容器製造",NA,NA,NA,NA
12264131,"96E52136FD",1.5e+08,2,FALSE,58,1,7,1,7,690201,242312,"鋁或鋁合金粗製品製造",434015,"室內裝修工程",252299,"其他金屬建築組件製造",NA,NA
12275995,"FD63677C27",690465600,2,FALSE,3,543,155,168,142,690501,241211,"鑄管鑄造",293800,"動力手工具製造",431014,"檔土支撐及土方工程","464211","電子器材、電子設備批發"
12276447,"D8E04D2879",1056706560,3,FALSE,4,49,321,13,237,690501,170099,"其他石油及煤製品製造",170011,"瀝青製造",NA,NA,NA,NA
12278439,"E448E95294",818500000,2,FALSE,21,175,65,129,46,690410,271999,"未分類其他電腦週邊設備製造",272914,"無線電接收機製造",272915,"區域網路及寬頻網路設備製造","272999","未分類其他通訊傳播設備製造"
12288529,"56330348C0",505700000,3,FALSE,3,192,18,147,5,690801,220999,"未分類其他塑膠製品製造",199099,"未分類其他化學製品製造",452000,"綜合商品批發","451099","其他商品經紀"
12292729,"967C79A563",1e+07,3,FALSE,13,5,0,8,0,690801,456199,"其他家庭電器批發",465311,"汽車零件、汽車百貨批發",461515,"建材五金（螺絲、螺帽、鉚釘等金屬製品）批發",NA,NA
12292880,"FC9D475759",1.65e+08,2,FALSE,16,93,118,73,66,690606,292700,"橡膠及塑膠加工用機械設備製造",NA,NA,NA,NA,NA,NA
12294135,"78AD735446",1.08e+08,3,FALSE,0,18,11,15,8,690901,455113,"紡織紗批發",NA,NA,NA,NA,NA,NA
12304443,"CEF7E973B1",1.5e+09,3,FALSE,11,68,41,54,33,691101,464211,"電子器材、電子設備批發",464999,"未分類其他機械器具批發",293999,"未分類其他通用機械設備製造",NA,NA
12306385,"F413714A9C",775960000,3,FALSE,6,48,12,74,23,691201,192011,"塗料製造",461412,"漆料及光油批發",464211,"電子器材、電子設備批發","192011","塗料製造"
12309138,"22BDDA0224",2.4e+07,2,FALSE,5,1,0,0,0,690108,113000,"不織布製造",NA,NA,NA,NA,NA,NA
12317904,"98E17C8A1A",2.8e+07,3,FALSE,5,9,0,7,0,700301,115113,"帆布製品製造",NA,NA,NA,NA,NA,NA
12320400,"CC6613CA85",0,2,FALSE,30,444,159,699,202,701001,273099,"其他視聽電子產品製造",272915,"區域網路及寬頻網路設備製造",269911,"電子連接器（線）製造","464211","電子器材、電子設備批發"
12322809,"EAA537BB7F",6.8e+07,3,FALSE,26,57,0,45,0,700519,451099,"其他商品經紀",458299,"其他運動用品、器材批發",NA,NA,NA,NA
12331482,"BD38E0E39B",604393000,2,FALSE,8,213,353,220,253,700213,192013,"染料及顏料製造",269999,"其他未分類電子零組件製造",199099,"未分類其他化學製品製造",NA,NA
12341051,"0AA74A16FB",0,2,FALSE,50,655,173,540,113,700803,456199,"其他家庭電器批發",474199,"其他家庭電器零售",610011,"有線通信服務","451099","其他商品經紀"
12362365,"CB33344687",1018771840,2,FALSE,4,102,82,93,112,790412,283100,"電線及電纜製造",422014,"長程、市區電力及電信線路工程",464920,"電力設備器材批發","433117","電纜裝修工程"
12362843,"B4F6CD16FA",4.98e+08,2,FALSE,5,5,187,3,94,700112,464999,"未分類其他機械器具批發",464211,"電子器材、電子設備批發",NA,NA,NA,NA
12367707,"6AA38AC047",4.01e+08,1,FALSE,15,100,2,127,2,690120,259100,"螺絲、螺帽及鉚釘製造",293999,"未分類其他通用機械設備製造",312200,"機車零件製造","303099","其他汽車零件製造"
12369971,"CAFB317B0A",5e+06,3,FALSE,22,0,6,0,17,710315,691911,"公證人事務服務",760912,"農、林、漁、礦、食品、紡織等技術指導服務",NA,NA,NA,NA
12371385,"45FDBB2457",360543680,3,FALSE,2,0,61,0,71,710315,451099,"其他商品經紀",239999,"其他未分類非金屬礦物製品製造",NA,NA,NA,NA
12375925,"D2855576E0",608875730,2,FALSE,4,0,0,0,0,710323,272999,"未分類其他通訊傳播設備製造",NA,NA,NA,NA,NA,NA
12378253,"47405824CC",1181924000,2,FALSE,8,116,12,136,18,870428,433212,"管道工程",292413,"製鞋機製造",319014,"航空器及其零件製造","259999","其他未分類金屬製品製造"
12381222,"D3A071FF21",3.35e+08,3,FALSE,7,129,359,97,307,710519,451099,"其他商品經紀",220300,"工業用塑膠製品製造",NA,NA,NA,NA
12386388,"69AAAA7B0F",217500100,2,FALSE,3,55,2,20,1,721207,261199,"其他積體電路製造",269999,"其他未分類電子零組件製造",464915,"醫療機械設備批發","281099","其他發電、輸電、配電機械製造"
12390496,"44F0F927FE",552573000,2,FALSE,6,273,92,215,61,710715,184200,"合成橡膠製造",462299,"其他化學製品批發",NA,NA,NA,NA
12393753,"B6616029A8",4.6e+07,2,FALSE,6,14,21,13,19,780504,293917,"抽通風機製造",464314,"原動機批發",NA,NA,NA,NA
12403422,"F3AEEBC577",1194711000,2,FALSE,21,845,199,853,188,680706,281099,"其他發電、輸電、配電機械製造",464211,"電子器材、電子設備批發",NA,NA,NA,NA
12413104,"DB8AEB2296",513335000,3,FALSE,3,10,8,10,3,770715,220300,"工業用塑膠製品製造",269999,"其他未分類電子零組件製造",NA,NA,NA,NA
12423139,"551A2F942B",7e+07,3,FALSE,1,122,2,119,1,720302,451099,"其他商品經紀",NA,NA,NA,NA,NA,NA
12437393,"D06BBDB275",5e+06,3,FALSE,6,11,0,24,0,720510,451099,"其他商品經紀",484311,"汽車零件、汽車百貨零售",NA,NA,NA,NA
12446421,"B0938E400A",1e+08,2,FALSE,3,0,0,0,0,720624,275114,"數值控制操作器製造",269999,"其他未分類電子零組件製造",464211,"電子器材、電子設備批發",NA,NA
12452154,"EB25E720DB",2.9e+07,3,FALSE,8,187,0,158,0,720810,293513,"千斤頂製造",639900,"未分類其他資訊供應服務",NA,NA,NA,NA
12453858,"83F7A10CD1",9e+07,3,FALSE,3,8,26,6,28,720819,331199,"其他體育用品製造",311014,"海上結構物、船舶專用機械及其零件製造",332900,"其他醫療器材及用品製造","433112","電路工程"
12461082,"D0D73000E1",485316340,3,FALSE,10,72,22,54,21,721006,464999,"未分類其他機械器具批發",464311,"食品飲料機械批發",292300,"食品、飲料及菸草製作用機械設備製造",NA,NA
12462174,"2784C7990F",1e+08,2,FALSE,5,78,0,79,0,721013,332900,"其他醫療器材及用品製造",NA,NA,NA,NA,NA,NA
12468199,"1680E23401",2.5e+07,2,FALSE,3,0,3,0,4,721123,476111,"文具零售",458111,"文具批發",NA,NA,NA,NA
12474517,"FE0240C74A",7e+07,2,FALSE,0,3,23,5,44,730110,464211,"電子器材、電子設備批發",483299,"其他通訊設備零售",464111,"電腦及電腦週邊設備批發","464212","通訊傳播設備（電話、手機除外）批發"
12483240,"F027F35C3D",1005938000,2,FALSE,0,1,3,1,1,730314,241212,"鑄鐵件鑄造",232999,"未分類其他陶瓷製品製造",456999,"未分類其他家庭器具及用品批發","454612","進口菸酒批發"
12488060,"8A3DCB8BA9",0,2,FALSE,7,12650,5460,11096,4955,730413,301011,"客車製造",465111,"全新汽車批發",451099,"其他商品經紀","301012","貨車製造"
12490306,"53FE8BCEB1",0,2,FALSE,15,837,1097,943,919,790521,273011,"電視機製造",271999,"未分類其他電腦週邊設備製造",272112,"有線電話製造","332900","其他醫療器材及用品製造"
12494555,"EE4674DA2C",606391000,2,FALSE,10,506,11,265,11,730522,259100,"螺絲、螺帽及鉚釘製造",NA,NA,NA,NA,NA,NA
12498877,"921C9D2D66",546268000,2,FALSE,4,1,171,0,155,730616,122199,"其他針織外衣製造",455211,"服裝批發",NA,NA,NA,NA
12499995,"3972F7A686",2e+08,2,FALSE,6,60,35,28,12,801119,456199,"其他家庭電器批發",271914,"隨身碟製造",193012,"清潔劑製造","464211","電子器材、電子設備批發"
12508713,"2EA933AA6E",0,3,FALSE,10,0,0,0,0,730814,451099,"其他商品經紀",702099,"其他管理顧問服務",NA,NA,NA,NA
12514341,"B25B7B2E13",693230540,2,TRUE,11,689,16,730,23,730813,293600,"事務機械設備製造",272999,"未分類其他通訊傳播設備製造",NA,NA,NA,NA
12515159,"9DEBECD37F",3e+07,3,FALSE,2,0,0,0,0,730829,464112,"電腦套裝軟體批發",456199,"其他家庭電器批發",464111,"電腦及電腦週邊設備批發",NA,NA
12520441,"5DA5913C04",1e+08,2,FALSE,13,134,3,86,2,730925,451099,"其他商品經紀",NA,NA,NA,NA,NA,NA
12525369,"0FD9464A9C",8e+07,2,FALSE,1,10,0,7,0,731114,220999,"未分類其他塑膠製品製造",184111,"聚酯粒製造",192011,"塗料製造","220300","工業用塑膠製品製造"
12526607,"F1E71E8FD0",0,2,FALSE,5,447,176,300,205,690927,199099,"未分類其他化學製品製造",181099,"其他基本化學材料製造",NA,NA,NA,NA
12534276,"8C6543DA23",5100000,2,FALSE,24,0,0,0,0,731215,331300,"樂器製造",NA,NA,NA,NA,NA,NA
12539075,"4D3F15A9B4",8e+07,2,FALSE,4,144,20,156,21,760715,199099,"未分類其他化學製品製造",451099,"其他商品經紀",464999,"未分類其他機械器具批發",NA,NA
12544703,"98EDA6C35C",2.8e+07,2,FALSE,8,21,0,21,0,921024,474111,"家庭照明器材零售",476111,"文具零售",465311,"汽車零件、汽車百貨批發",NA,NA
12550578,"753C84F0AE",3.94e+08,3,FALSE,5,194,183,174,173,740501,220912,"強化塑膠製品製造",220999,"未分類其他塑膠製品製造",321999,"未分類其他非金屬家具製造",NA,NA
12552702,"3633DC5F77",1.05e+08,2,FALSE,15,13,0,20,1,740513,451099,"其他商品經紀",464499,"其他辦公用機械器具批發",464211,"電子器材、電子設備批發","292800","電子及半導體生產用機械設備製造"
12564904,"FD0D2BF4FC",2.8e+07,3,FALSE,23,8,0,13,0,740727,457113,"醫療耗材批發",NA,NA,NA,NA,NA,NA
12601204,"AE84C66333",2.2e+07,2,FALSE,1,0,1,0,0,900806,231999,"未分類其他玻璃及其製品製造",461913,"平板玻璃批發",740200,"工業設計","432000","庭園景觀工程"
12605551,"9B0D40A245",1.68e+08,1,FALSE,5,216,5,232,4,891013,321999,"未分類其他非金屬家具製造",NA,NA,NA,NA,NA,NA
12606952,"6D68677E04",354297910,2,FALSE,1,81,68,61,79,891212,277999,"未分類其他光學儀器及設備製造",269911,"電子連接器（線）製造",464211,"電子器材、電子設備批發","451099","其他商品經紀"
12608797,"AC2D326DF9",304200000,2,FALSE,7,3,0,0,0,891127,272999,"未分類其他通訊傳播設備製造",271100,"電腦製造",272915,"區域網路及寬頻網路設備製造",NA,NA
12613567,"743A280BA3",355810000,2,FALSE,3,304,53,375,72,891027,269911,"電子連接器（線）製造",451099,"其他商品經紀",NA,NA,NA,NA
12624467,"5B2C0E680D",1103646830,2,FALSE,6,855,729,1096,1045,891006,261111,"磊晶矽晶圓製造",261211,"二極體製造",261212,"電晶體製造","261299","其他分離式元件製造"
12625402,"76FEB4FF1F",5e+06,2,FALSE,4,13,2,14,2,891006,465311,"汽車零件、汽車百貨批發",464999,"未分類其他機械器具批發",461599,"其他金屬建材批發",NA,NA
12633418,"08949D7247",1.5e+07,1,FALSE,4,10,2,8,1,891023,465311,"汽車零件、汽車百貨批發",465311,"汽車零件、汽車百貨批發",465314,"機車零件、機車百貨批發",NA,NA
12633873,"AAADE062D3",8.8e+07,2,FALSE,4,0,0,0,0,891103,456912,"家用瓦斯器具批發",453999,"未分類其他農產原料批發",285999,"未分類其他家用電器製造",NA,NA
12636169,"F22E887EA7",2e+08,2,FALSE,2,0,0,0,0,900112,620212,"系統規劃、分析及設計",NA,NA,NA,NA,NA,NA
12636560,"E1237E509C",7.48e+08,2,FALSE,3,526,463,406,342,891023,251299,"其他金屬模具製造",NA,NA,NA,NA,NA,NA
12639715,"0E45E32D5C",6e+06,2,FALSE,11,0,0,0,0,900510,483111,"電腦及電腦週邊設備零售",NA,NA,NA,NA,NA,NA
12641310,"C6CBE27BAC",5e+06,2,FALSE,7,0,0,0,0,900213,464999,"未分類其他機械器具批發",340099,"其他產業用機械設備維修及安裝",NA,NA,NA,NA
12642444,"93F823ED68",479500000,2,FALSE,21,41,20,41,11,900307,293917,"抽通風機製造",251199,"其他金屬手工具製造",NA,NA,NA,NA
12642789,"A7D87EEE72",5e+06,2,FALSE,4,3,0,1,0,891201,291900,"其他金屬加工用機械設備製造",281099,"其他發電、輸電、配電機械製造",312200,"機車零件製造","312100","機車製造"
12643725,"53506766D3",5e+06,2,FALSE,5,0,0,0,0,891122,620900,"其他電腦系統設計服務",639900,"未分類其他資訊供應服務",952100,"電腦及其週邊設備修理","464111","電腦及電腦週邊設備批發"
12645131,"0432D42E07",3.1e+07,2,FALSE,2,0,0,0,0,891031,760999,"其他未分類專業、科學及技術服務",475113,"醫療耗材零售",NA,NA,NA,NA
